AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
LISMORE,2004,-,1731,1676,3407,0,0,0,1731,1676,3407
LISMORE,2005,-,1357,1355,2712,0,0,0,1357,1355,2712
LISMORE,2006,-,1369,1535,2904,0,0,0,1369,1535,2904
LISMORE,2007,-,1355,1526,2881,0,0,0,1355,1526,2881
LISMORE,2008,-,1363,1540,2903,0,0,0,1363,1540,2903
LISMORE,2009,-,1235,1296,2531,0,0,0,1235,1296,2531
LISMORE,2010,-,1257,1257,2514,0,0,0,1257,1257,2514
LISMORE,2011,-,1214,1215,2429,0,0,0,1214,1215,2429
LISMORE,2012,-,1036,1025,2061,0,0,0,1036,1025,2061
LISMORE,2013,-,972,969,1941,0,0,0,972,969,1941
LISMORE,2014,-,984,1042,2026,0,0,0,984,1042,2026
LISMORE,2015,-,996,1055,2051,0,0,0,996,1055,2051
LISMORE,2016,-,1008,1075,2083,0,0,0,1008,1075,2083
LONGREACH,1985,-,292,290,582,0,0,0,292,290,582
LONGREACH,1986,-,306,306,612,0,0,0,306,306,612
LONGREACH,1987,-,208,210,418,0,0,0,208,210,418
LONGREACH,1988,-,0,0,0,0,0,0,0,0,0
LONGREACH,1989,-,0,0,0,0,0,0,0,0,0
LONGREACH,1990,-,0,0,0,0,0,0,0,0,0
LONGREACH,1991,-,653,691,1344,0,0,0,653,691,1344
LONGREACH,1992,-,509,508,1017,0,0,0,509,508,1017
LONGREACH,1993,-,394,394,788,0,0,0,394,394,788
LONGREACH,1994,-,468,468,936,0,0,0,468,468,936
LONGREACH,1995,-,475,474,949,0,0,0,475,474,949
LONGREACH,1996,-,471,473,944,0,0,0,471,473,944
LONGREACH,1997,-,518,524,1042,0,0,0,518,524,1042
LONGREACH,1998,-,486,486,972,0,0,0,486,486,972
LONGREACH,1999,-,474,473,947,0,0,0,474,473,947
LONGREACH,2000,-,474,473,947,0,0,0,474,473,947
LONGREACH,2001,-,492,485,977,0,0,0,492,485,977
LONGREACH,2002,-,507,507,1014,0,0,0,507,507,1014
LONGREACH,2003,-,482,482,964,0,0,0,482,482,964
LONGREACH,2004,-,469,469,938,0,0,0,469,469,938
LONGREACH,2005,-,468,468,936,0,0,0,468,468,936
LONGREACH,2006,-,461,461,922,0,0,0,461,461,922
LONGREACH,2007,-,479,479,958,0,0,0,479,479,958
LONGREACH,2008,-,468,467,935,0,0,0,468,467,935
LONGREACH,2009,-,446,445,891,0,0,0,446,445,891
LONGREACH,2010,-,480,477,957,0,0,0,480,477,957
LONGREACH,2011,-,552,546,1098,0,0,0,552,546,1098
LONGREACH,2012,-,799,474,1273,0,0,0,799,474,1273
LONGREACH,2013,-,824,505,1329,0,0,0,824,505,1329
LONGREACH,2014,-,785,475,1260,0,0,0,785,475,1260
LONGREACH,2015,-,778,469,1247,0,0,0,778,469,1247
LONGREACH,2016,-,764,471,1235,0,0,0,764,471,1235
LORD HOWE ISLAND,1985,-,1417,1405,2822,0,0,0,1417,1405,2822
LORD HOWE ISLAND,1986,-,1553,1552,3105,0,0,0,1553,1552,3105
LORD HOWE ISLAND,1987,-,1611,1615,3226,0,0,0,1611,1615,3226
LORD HOWE ISLAND,1988,-,1625,1572,3197,0,0,0,1625,1572,3197
LORD HOWE ISLAND,1989,-,1722,1621,3343,0,0,0,1722,1621,3343
LORD HOWE ISLAND,1990,-,907,922,1829,0,0,0,907,922,1829
LORD HOWE ISLAND,1991,-,889,975,1864,0,0,0,889,975,1864
LORD HOWE ISLAND,1992,-,1225,1291,2516,0,0,0,1225,1291,2516
LORD HOWE ISLAND,1993,-,755,753,1508,0,0,0,755,753,1508
LORD HOWE ISLAND,1994,-,344,343,687,0,0,0,344,343,687
LORD HOWE ISLAND,1995,-,390,389,779,0,0,0,390,389,779
LORD HOWE ISLAND,1996,-,471,471,942,0,0,0,471,471,942
LORD HOWE ISLAND,1997,-,647,639,1286,0,0,0,647,639,1286
LORD HOWE ISLAND,1998,-,672,666,1338,0,0,0,672,666,1338
LORD HOWE ISLAND,1999,-,606,606,1212,0,0,0,606,606,1212
LORD HOWE ISLAND,2000,-,509,510,1019,0,0,0,509,510,1019
LORD HOWE ISLAND,2001,-,500,498,998,0,0,0,500,498,998
LORD HOWE ISLAND,2002,-,505,503,1008,0,0,0,505,503,1008
LORD HOWE ISLAND,2003,-,528,527,1055,0,0,0,528,527,1055
LORD HOWE ISLAND,2004,-,536,535,1071,0,0,0,536,535,1071
LORD HOWE ISLAND,2005,-,585,584,1169,0,0,0,585,584,1169
LORD HOWE ISLAND,2006,-,621,620,1241,0,0,0,621,620,1241
LORD HOWE ISLAND,2007,-,637,636,1273,0,0,0,637,636,1273
LORD HOWE ISLAND,2008,-,642,640,1282,0,0,0,642,640,1282
LORD HOWE ISLAND,2009,-,627,626,1253,0,0,0,627,626,1253
LORD HOWE ISLAND,2010,-,628,628,1256,0,0,0,628,628,1256
LORD HOWE ISLAND,2011,-,635,632,1267,0,0,0,635,632,1267
LORD HOWE ISLAND,2012,-,636,636,1272,0,0,0,636,636,1272
LORD HOWE ISLAND,2013,-,642,641,1283,0,0,0,642,641,1283
LORD HOWE ISLAND,2014,-,647,645,1292,0,0,0,647,645,1292
LORD HOWE ISLAND,2015,-,647,645,1292,0,0,0,647,645,1292
LORD HOWE ISLAND,2016,-,743,744,1487,0,0,0,743,744,1487
MACKAY,1985,21,3939,3915,7854,0,0,0,3939,3915,7854
MACKAY,1986,21,4311,4306,8617,0,0,0,4311,4306,8617
MACKAY,1987,19,4221,4224,8445,0,0,0,4221,4224,8445
MACKAY,1988,14,5086,5103,10189,0,0,0,5086,5103,10189
MACKAY,1989,13,4474,4547,9021,0,0,0,4474,4547,9021
MACKAY,1990,22,3861,3868,7729,0,0,0,3861,3868,7729
MACKAY,1991,15,4971,4971,9942,0,0,0,4971,4971,9942
MACKAY,1992,15,4984,4986,9970,0,0,0,4984,4986,9970
MACKAY,1993,17,5481,5478,10959,0,0,0,5481,5478,10959
MACKAY,1994,17,5705,5706,11411,0,0,0,5705,5706,11411
MACKAY,1995,15,6178,6177,12355,0,0,0,6178,6177,12355
MACKAY,1996,13,6270,6263,12533,0,0,0,6270,6263,12533
MACKAY,1997,14,6145,6157,12302,0,0,0,6145,6157,12302
MACKAY,1998,13,6066,6062,12128,0,0,0,6066,6062,12128
MACKAY,1999,13,6144,6152,12296,0,0,0,6144,6152,12296
MACKAY,2000,13,6428,6450,12878,0,0,0,6428,6450,12878
MACKAY,2001,13,6174,6185,12359,0,0,0,6174,6185,12359
MACKAY,2002,13,4934,4942,9876,0,0,0,4934,4942,9876
MACKAY,2003,16,3850,3850,7700,0,0,0,3850,3850,7700
MACKAY,2004,17,4260,4191,8451,0,0,0,4260,4191,8451
MACKAY,2005,16,4687,4664,9351,0,0,0,4687,4664,9351
MACKAY,2006,16,4925,4885,9810,0,0,0,4925,4885,9810
MACKAY,2007,15,5216,5108,10324,0,0,0,5216,5108,10324
MACKAY,2008,15,5929,5722,11651,0,0,0,5929,5722,11651
MACKAY,2009,15,6210,6162,12372,0,0,0,6210,6162,12372
MACKAY,2010,12,7371,7361,14732,0,0,0,7371,7361,14732
MACKAY,2011,13,7383,7362,14745,0,0,0,7383,7362,14745
MACKAY,2012,13,7265,7256,14521,0,0,0,7265,7256,14521
MACKAY,2013,13,7566,7564,15130,0,0,0,7566,7564,15130
MACKAY,2014,13,6845,6828,13673,0,0,0,6845,6828,13673
MACKAY,2015,14,6297,6277,12574,0,0,0,6297,6277,12574
MACKAY,2016,14,5724,5713,11437,0,0,0,5724,5713,11437
MANINGRIDA,1985,-,231,231,462,0,0,0,231,231,462
MANINGRIDA,1986,-,0,0,0,0,0,0,0,0,0
MANINGRIDA,1987,-,0,0,0,0,0,0,0,0,0
MANINGRIDA,1988,-,1,1,2,0,0,0,1,1,2
MANINGRIDA,1989,-,0,0,0,0,0,0,0,0,0
MANINGRIDA,1990,-,0,0,0,0,0,0,0,0,0
MANINGRIDA,1991,-,39,39,78,0,0,0,39,39,78
MANINGRIDA,1992,-,1975,1960,3935,0,0,0,1975,1960,3935
MANINGRIDA,1993,-,2376,2376,4752,0,0,0,2376,2376,4752
MANINGRIDA,1994,-,2287,2287,4574,0,0,0,2287,2287,4574
MANINGRIDA,1995,38,2573,2573,5146,0,0,0,2573,2573,5146
MANINGRIDA,1996,38,2794,2794,5588,0,0,0,2794,2794,5588
MANINGRIDA,1997,31,3122,3122,6244,0,0,0,3122,3122,6244
MANINGRIDA,1998,31,3365,3365,6730,0,0,0,3365,3365,6730
MANINGRIDA,1999,34,2966,2966,5932,0,0,0,2966,2966,5932
MANINGRIDA,2000,-,2167,2214,4381,0,0,0,2167,2214,4381
MANINGRIDA,2001,-,2110,2174,4284,0,0,0,2110,2174,4284
MANINGRIDA,2002,-,1752,1785,3537,0,0,0,1752,1785,3537
MANINGRIDA,2003,-,1405,1411,2816,0,0,0,1405,1411,2816
MANINGRIDA,2004,-,1271,1270,2541,0,0,0,1271,1270,2541
MANINGRIDA,2005,-,1265,1259,2524,0,0,0,1265,1259,2524
MANINGRIDA,2006,-,1091,1102,2193,0,0,0,1091,1102,2193
MANINGRIDA,2007,-,1223,1237,2460,0,0,0,1223,1237,2460
MANINGRIDA,2008,-,1218,1228,2446,0,0,0,1218,1228,2446
MANINGRIDA,2009,-,1236,1242,2478,0,0,0,1236,1242,2478
MANINGRIDA,2010,-,1213,1215,2428,0,0,0,1213,1215,2428
MANINGRIDA,2011,-,1228,1230,2458,0,0,0,1228,1230,2458
MANINGRIDA,2012,-,1241,1237,2478,0,0,0,1241,1237,2478
MANINGRIDA,2013,-,1237,1233,2470,0,0,0,1237,1233,2470
MANINGRIDA,2014,-,1223,1223,2446,0,0,0,1223,1223,2446
MANINGRIDA,2015,-,1198,1200,2398,0,0,0,1198,1200,2398
MANINGRIDA,2016,-,1201,1203,2404,0,0,0,1201,1203,2404
MELBOURNE,1985,2,36537,36532,73069,5738,5622,11360,42275,42154,84429
MELBOURNE,1986,2,37071,37070,74141,6359,6329,12688,43430,43399,86829
MELBOURNE,1987,2,38554,38628,77182,6847,6772,13619,45401,45400,90801
MELBOURNE,1988,2,40043,39833,79876,7005,6902,13907,47048,46735,93783
MELBOURNE,1989,2,33921,33811,67732,7410,7287,14697,41331,41098,82429
MELBOURNE,1990,2,39911,39706,79617,8067,7975,16042,47978,47681,95659
MELBOURNE,1991,2,46371,46182,92553,7562,7579,15141,53933,53761,107694
MELBOURNE,1992,2,49644,49803,99447,7822,7815,15637,57466,57618,115084
MELBOURNE,1993,2,51234,51169,102403,8140,8092,16232,59374,59261,118635
MELBOURNE,1994,2,53771,53785,107556,7437,7326,14763,61208,61111,122319
MELBOURNE,1995,2,57407,57322,114729,7706,7520,15226,65113,64842,129955
MELBOURNE,1996,2,59465,59216,118681,8321,8158,16479,67786,67374,135160
MELBOURNE,1997,2,60212,59772,119984,8700,8753,17453,68912,68525,137437
MELBOURNE,1998,2,61239,60689,121928,8780,8952,17732,70019,69641,139660
MELBOURNE,1999,2,63070,62503,125573,9349,9530,18879,72419,72033,144452
MELBOURNE,2000,2,70339,69988,140327,10740,10858,21598,81079,80846,161925
MELBOURNE,2001,2,71661,71420,143081,11656,11765,23421,83317,83185,166502
MELBOURNE,2002,2,61624,61521,123145,10716,10782,21498,72340,72303,144643
MELBOURNE,2003,2,63213,63214,126427,10674,10655,21329,73887,73869,147756
MELBOURNE,2004,2,71973,72088,144061,13335,13346,26681,85308,85434,170742
MELBOURNE,2005,2,74602,74618,149220,13370,13386,26756,87972,88004,175976
MELBOURNE,2006,2,75662,75904,151566,11985,11964,23949,87647,87868,175515
MELBOURNE,2007,2,76782,77080,153862,12129,12104,24233,88911,89184,178095
MELBOURNE,2008,2,83136,83337,166473,12942,12921,25863,96078,96258,192336
MELBOURNE,2009,2,78975,79072,158047,14556,14505,29061,93531,93577,187108
MELBOURNE,2010,2,86201,86472,172673,15969,15940,31909,102170,102412,204582
MELBOURNE,2011,2,84836,85197,170033,16905,16870,33775,101741,102067,203808
MELBOURNE,2012,2,88761,89047,177808,17724,17691,35415,106485,106738,213223
MELBOURNE,2013,2,90480,90609,181089,18773,18722,37495,109253,109331,218584
MELBOURNE,2014,2,92359,92449,184808,20240,20232,40472,112599,112681,225280
MELBOURNE,2015,2,95008,95115,190123,21163,21150,42313,116171,116265,232436
MELBOURNE,2016,2,95658,95916,191574,22348,22324,44672,118006,118240,236246
MERIMBULA,1985,-,894,882,1776,0,0,0,894,882,1776
MERIMBULA,1986,-,843,843,1686,0,0,0,843,843,1686
MERIMBULA,1987,-,850,850,1700,0,0,0,850,850,1700
MERIMBULA,1988,-,827,828,1655,0,0,0,827,828,1655
MERIMBULA,1989,-,932,945,1877,0,0,0,932,945,1877
MERIMBULA,1990,-,1309,1352,2661,0,0,0,1309,1352,2661
MERIMBULA,1991,-,1035,1012,2047,0,0,0,1035,1012,2047
MERIMBULA,1992,-,1054,1051,2105,0,0,0,1054,1051,2105
MERIMBULA,1993,-,1104,1103,2207,0,0,0,1104,1103,2207
MERIMBULA,1994,-,1067,1064,2131,0,0,0,1067,1064,2131
MERIMBULA,1995,-,1568,1565,3133,0,0,0,1568,1565,3133
MERIMBULA,1996,-,1593,1600,3193,0,0,0,1593,1600,3193
MERIMBULA,1997,-,1412,1407,2819,0,0,0,1412,1407,2819
MERIMBULA,1998,-,1411,1419,2830,0,0,0,1411,1419,2830
MERIMBULA,1999,-,1360,1358,2718,0,0,0,1360,1358,2718
MERIMBULA,2000,-,1313,1305,2618,0,0,0,1313,1305,2618
MERIMBULA,2001,-,1160,1160,2320,0,0,0,1160,1160,2320
MERIMBULA,2002,-,1247,1244,2491,0,0,0,1247,1244,2491
MERIMBULA,2003,-,1377,1374,2751,0,0,0,1377,1374,2751
MERIMBULA,2004,-,1345,1342,2687,0,0,0,1345,1342,2687
MERIMBULA,2005,-,1445,1443,2888,0,0,0,1445,1443,2888
MERIMBULA,2006,-,1490,1491,2981,0,0,0,1490,1491,2981
MERIMBULA,2007,-,1455,1456,2911,0,0,0,1455,1456,2911
MERIMBULA,2008,-,1450,1444,2894,0,0,0,1450,1444,2894
MERIMBULA,2009,-,1407,1403,2810,0,0,0,1407,1403,2810
MERIMBULA,2010,-,1402,1398,2800,0,0,0,1402,1398,2800
MERIMBULA,2011,-,1502,1495,2997,0,0,0,1502,1495,2997
MERIMBULA,2012,-,1513,1500,3013,0,0,0,1513,1500,3013
MERIMBULA,2013,-,1470,1444,2914,0,0,0,1470,1444,2914
MERIMBULA,2014,-,1726,1630,3356,0,0,0,1726,1630,3356
MERIMBULA,2015,-,1546,1509,3055,0,0,0,1546,1509,3055
MERIMBULA,2016,-,1563,1526,3089,0,0,0,1563,1526,3089
MILDURA,1985,30,2616,2641,5257,0,0,0,2616,2641,5257
MILDURA,1986,28,2892,2884,5776,0,0,0,2892,2884,5776
MILDURA,1987,27,2943,2916,5859,0,0,0,2943,2916,5859
MILDURA,1988,28,2858,3131,5989,0,0,0,2858,3131,5989
MILDURA,1989,26,2778,2897,5675,0,0,0,2778,2897,5675
MILDURA,1990,30,2567,3016,5583,0,0,0,2567,3016,5583
MILDURA,1991,37,2563,3087,5650,0,0,0,2563,3087,5650
MILDURA,1992,33,2776,2833,5609,0,0,0,2776,2833,5609
MILDURA,1993,33,2855,2832,5687,0,0,0,2855,2832,5687
MILDURA,1994,35,2850,2772,5622,0,0,0,2850,2772,5622
MILDURA,1995,36,2889,2906,5795,0,0,0,2889,2906,5795
MILDURA,1996,36,2876,2876,5752,0,0,0,2876,2876,5752
MILDURA,1997,35,3046,3049,6095,0,0,0,3046,3049,6095
MILDURA,1998,30,3442,3442,6884,0,0,0,3442,3442,6884
MILDURA,1999,29,3652,3656,7308,0,0,0,3652,3656,7308
MILDURA,2000,30,3532,3522,7054,0,0,0,3532,3522,7054
MILDURA,2001,31,2864,2849,5713,0,0,0,2864,2849,5713
MILDURA,2002,26,2988,2991,5979,0,0,0,2988,2991,5979
MILDURA,2003,23,3244,3242,6486,0,0,0,3244,3242,6486
MILDURA,2004,24,3284,3281,6565,0,0,0,3284,3281,6565
MILDURA,2005,24,3487,3479,6966,0,0,0,3487,3479,6966
MILDURA,2006,21,3776,3773,7549,0,0,0,3776,3773,7549
MILDURA,2007,20,3712,3702,7414,0,0,0,3712,3702,7414
MILDURA,2008,23,3273,3270,6543,0,0,0,3273,3270,6543
MILDURA,2009,22,3051,3049,6100,0,0,0,3051,3049,6100
MILDURA,2010,26,2894,2891,5785,0,0,0,2894,2891,5785
MILDURA,2011,29,2718,2715,5433,0,0,0,2718,2715,5433
MILDURA,2012,25,2982,2988,5970,0,0,0,2982,2988,5970
MILDURA,2013,20,3569,3579,7148,0,0,0,3569,3579,7148
MILDURA,2014,20,3571,3581,7152,0,0,0,3571,3581,7152
MILDURA,2015,20,3605,3598,7203,0,0,0,3605,3598,7203
MILDURA,2016,19,3668,3667,7335,0,0,0,3668,3667,7335
MOORABBIN,1985,-,0,0,0,0,0,0,0,0,0
MOORABBIN,1986,-,0,0,0,0,0,0,0,0,0
MOORABBIN,1987,-,694,702,1396,0,0,0,694,702,1396
MOORABBIN,1988,-,2022,2117,4139,0,0,0,2022,2117,4139
MOORABBIN,1989,18,3597,3639,7236,0,0,0,3597,3639,7236
MOORABBIN,1990,12,4614,4628,9242,0,0,0,4614,4628,9242
MOORABBIN,1991,23,3896,4097,7993,0,0,0,3896,4097,7993
MOORABBIN,1992,26,3478,3478,6956,0,0,0,3478,3478,6956
MOORABBIN,1993,28,3687,3705,7392,0,0,0,3687,3705,7392
MOORABBIN,1994,25,3847,3847,7694,0,0,0,3847,3847,7694
MOORABBIN,1995,25,3799,3799,7598,0,0,0,3799,3799,7598
MOORABBIN,1996,31,3436,3437,6873,0,0,0,3436,3437,6873
MOORABBIN,1997,33,3086,3086,6172,0,0,0,3086,3086,6172
MOORABBIN,1998,36,2852,2852,5704,0,0,0,2852,2852,5704
MOORABBIN,1999,-,1608,1608,3216,0,0,0,1608,1608,3216
MOORABBIN,2000,-,649,649,1298,0,0,0,649,649,1298
MOORABBIN,2001,-,628,628,1256,0,0,0,628,628,1256
MOORABBIN,2002,-,625,625,1250,0,0,0,625,625,1250
MOORABBIN,2003,-,673,673,1346,0,0,0,673,673,1346
MOORABBIN,2004,-,782,782,1564,0,0,0,782,782,1564
MOORABBIN,2005,-,822,819,1641,0,0,0,822,819,1641
MOORABBIN,2006,-,897,902,1799,0,0,0,897,902,1799
MOORABBIN,2007,-,1077,1079,2156,0,0,0,1077,1079,2156
MOORABBIN,2008,-,1468,1342,2810,0,0,0,1468,1342,2810
MOORABBIN,2009,-,834,830,1664,0,0,0,834,830,1664
MOORABBIN,2010,-,626,626,1252,0,0,0,626,626,1252
MOORABBIN,2011,-,622,622,1244,0,0,0,622,622,1244
MOORABBIN,2012,-,624,624,1248,0,0,0,624,624,1248
MOORABBIN,2013,-,625,625,1250,0,0,0,625,625,1250
MOORABBIN,2014,-,620,620,1240,0,0,0,620,620,1240
MOORABBIN,2015,-,630,630,1260,0,0,0,630,630,1260
MOORABBIN,2016,-,627,627,1254,0,0,0,627,627,1254
MORANBAH,1985,-,200,196,396,0,0,0,200,196,396
MORANBAH,1986,-,313,300,613,0,0,0,313,300,613
MORANBAH,1987,-,215,217,432,0,0,0,215,217,432
MORANBAH,1988,-,232,223,455,0,0,0,232,223,455
MORANBAH,1989,-,168,167,335,0,0,0,168,167,335
MORANBAH,1990,-,43,36,79,0,0,0,43,36,79
MORANBAH,1991,-,0,0,0,0,0,0,0,0,0
MORANBAH,1992,-,0,0,0,0,0,0,0,0,0
MORANBAH,1993,-,0,0,0,0,0,0,0,0,0
MORANBAH,1994,-,0,0,0,0,0,0,0,0,0
MORANBAH,1995,-,0,0,0,0,0,0,0,0,0
MORANBAH,1996,-,0,0,0,0,0,0,0,0,0
MORANBAH,1997,-,0,0,0,0,0,0,0,0,0
MORANBAH,1998,-,0,0,0,0,0,0,0,0,0
MORANBAH,1999,-,0,0,0,0,0,0,0,0,0
MORANBAH,2000,-,0,0,0,0,0,0,0,0,0
MORANBAH,2001,-,0,0,0,0,0,0,0,0,0
MORANBAH,2002,-,0,0,0,0,0,0,0,0,0
MORANBAH,2003,-,0,0,0,0,0,0,0,0,0
MORANBAH,2004,-,272,272,544,0,0,0,272,272,544
MORANBAH,2005,-,375,375,750,0,0,0,375,375,750
MORANBAH,2006,-,359,365,724,0,0,0,359,365,724
MORANBAH,2007,-,343,343,686,0,0,0,343,343,686
MORANBAH,2008,-,314,309,623,0,0,0,314,309,623
MORANBAH,2009,-,102,102,204,0,0,0,102,102,204
MORANBAH,2010,-,439,434,873,0,0,0,439,434,873
MORANBAH,2011,-,1059,1057,2116,0,0,0,1059,1057,2116
MORANBAH,2012,-,1737,1697,3434,0,0,0,1737,1697,3434
MORANBAH,2013,33,2572,2545,5117,0,0,0,2572,2545,5117
MORANBAH,2014,33,2651,2601,5252,0,0,0,2651,2601,5252
MORANBAH,2015,-,2176,2122,4298,0,0,0,2176,2122,4298
MORANBAH,2016,-,1913,1868,3781,0,0,0,1913,1868,3781
MOREE,1985,-,445,444,889,0,0,0,445,444,889
MOREE,1986,-,481,479,960,0,0,0,481,479,960
MOREE,1987,-,416,412,828,0,0,0,416,412,828
MOREE,1988,-,455,454,909,0,0,0,455,454,909
MOREE,1989,-,356,346,702,0,0,0,356,346,702
MOREE,1990,-,937,499,1436,0,0,0,937,499,1436
MOREE,1991,-,527,528,1055,0,0,0,527,528,1055
MOREE,1992,-,777,779,1556,0,0,0,777,779,1556
MOREE,1993,-,772,772,1544,0,0,0,772,772,1544
MOREE,1994,-,715,719,1434,0,0,0,715,719,1434
MOREE,1995,-,774,776,1550,0,0,0,774,776,1550
MOREE,1996,-,1059,1013,2072,0,0,0,1059,1013,2072
MOREE,1997,-,825,814,1639,0,0,0,825,814,1639
MOREE,1998,-,823,816,1639,0,0,0,823,816,1639
MOREE,1999,-,855,852,1707,0,0,0,855,852,1707
MOREE,2000,-,1117,1115,2232,0,0,0,1117,1115,2232
MOREE,2001,-,960,961,1921,0,0,0,960,961,1921
MOREE,2002,-,703,700,1403,0,0,0,703,700,1403
MOREE,2003,-,690,688,1378,0,0,0,690,688,1378
MOREE,2004,-,696,694,1390,0,0,0,696,694,1390
MOREE,2005,-,697,695,1392,0,0,0,697,695,1392
MOREE,2006,-,653,651,1304,0,0,0,653,651,1304
MOREE,2007,-,665,664,1329,0,0,0,665,664,1329
MOREE,2008,-,671,671,1342,0,0,0,671,671,1342
MOREE,2009,-,565,565,1130,0,0,0,565,565,1130
MOREE,2010,-,641,642,1283,0,0,0,641,642,1283
MOREE,2011,-,731,730,1461,0,0,0,731,730,1461
MOREE,2012,-,524,524,1048,0,0,0,524,524,1048
MOREE,2013,-,773,775,1548,0,0,0,773,775,1548
MOREE,2014,-,597,597,1194,0,0,0,597,597,1194
MOREE,2015,-,690,690,1380,0,0,0,690,690,1380
MOREE,2016,-,701,702,1403,0,0,0,701,702,1403
MORUYA,1985,-,604,614,1218,0,0,0,604,614,1218
MORUYA,1986,-,463,468,931,0,0,0,463,468,931
MORUYA,1987,-,446,431,877,0,0,0,446,431,877
MORUYA,1988,-,504,502,1006,0,0,0,504,502,1006
MORUYA,1989,-,610,614,1224,0,0,0,610,614,1224
MORUYA,1990,-,1230,1200,2430,0,0,0,1230,1200,2430
MORUYA,1991,-,1130,1131,2261,0,0,0,1130,1131,2261
MORUYA,1992,-,1331,1314,2645,0,0,0,1331,1314,2645
MORUYA,1993,-,1299,1304,2603,0,0,0,1299,1304,2603
MORUYA,1994,-,1280,1281,2561,0,0,0,1280,1281,2561
MORUYA,1995,-,1972,1975,3947,0,0,0,1972,1975,3947
MORUYA,1996,-,2013,2008,4021,0,0,0,2013,2008,4021
MORUYA,1997,-,1835,1838,3673,0,0,0,1835,1838,3673
MORUYA,1998,-,1947,1950,3897,0,0,0,1947,1950,3897
MORUYA,1999,-,1847,1857,3704,0,0,0,1847,1857,3704
MORUYA,2000,-,1835,1836,3671,0,0,0,1835,1836,3671
MORUYA,2001,-,1253,1254,2507,0,0,0,1253,1254,2507
MORUYA,2002,-,1336,1336,2672,0,0,0,1336,1336,2672
MORUYA,2003,-,1103,1102,2205,0,0,0,1103,1102,2205
MORUYA,2004,-,1744,1745,3489,0,0,0,1744,1745,3489
MORUYA,2005,-,1309,1309,2618,0,0,0,1309,1309,2618
MORUYA,2006,-,1338,1338,2676,0,0,0,1338,1338,2676
MORUYA,2007,-,1388,1385,2773,0,0,0,1388,1385,2773
MORUYA,2008,-,1401,1404,2805,0,0,0,1401,1404,2805
MORUYA,2009,-,1453,1457,2910,0,0,0,1453,1457,2910
MORUYA,2010,-,1458,1459,2917,0,0,0,1458,1459,2917
MORUYA,2011,-,1349,1354,2703,0,0,0,1349,1354,2703
MORUYA,2012,-,1299,1311,2610,0,0,0,1299,1311,2610
MORUYA,2013,-,1274,1318,2592,0,0,0,1274,1318,2592
MORUYA,2014,-,1412,1503,2915,0,0,0,1412,1503,2915
MORUYA,2015,-,1273,1303,2576,0,0,0,1273,1303,2576
MORUYA,2016,-,1283,1343,2626,0,0,0,1283,1343,2626
MOUNT GAMBIER,1985,31,2555,2585,5140,0,0,0,2555,2585,5140
MOUNT GAMBIER,1986,-,1853,1860,3713,0,0,0,1853,1860,3713
MOUNT GAMBIER,1987,31,2642,2642,5284,0,0,0,2642,2642,5284
MOUNT GAMBIER,1988,31,2739,2742,5481,0,0,0,2739,2742,5481
MOUNT GAMBIER,1989,21,3299,3291,6590,0,0,0,3299,3291,6590
MOUNT GAMBIER,1990,26,3481,3480,6961,0,0,0,3481,3480,6961
MOUNT GAMBIER,1991,28,3478,3459,6937,0,0,0,3478,3459,6937
MOUNT GAMBIER,1992,28,3201,3200,6401,0,0,0,3201,3200,6401
MOUNT GAMBIER,1993,30,3254,3263,6517,0,0,0,3254,3263,6517
MOUNT GAMBIER,1994,30,3330,3325,6655,0,0,0,3330,3325,6655
MOUNT GAMBIER,1995,30,3343,3341,6684,0,0,0,3343,3341,6684
MOUNT GAMBIER,1996,33,3342,3341,6683,0,0,0,3342,3341,6683
MOUNT GAMBIER,1997,27,3372,3371,6743,0,0,0,3372,3371,6743
MOUNT GAMBIER,1998,29,3449,3446,6895,0,0,0,3449,3446,6895
MOUNT GAMBIER,1999,30,3453,3450,6903,0,0,0,3453,3450,6903
MOUNT GAMBIER,2000,31,3453,3453,6906,0,0,0,3453,3453,6906
MOUNT GAMBIER,2001,26,3214,3221,6435,0,0,0,3214,3221,6435
MOUNT GAMBIER,2002,17,3862,3865,7727,0,0,0,3862,3865,7727
MOUNT GAMBIER,2003,18,3823,3820,7643,0,0,0,3823,3820,7643
MOUNT GAMBIER,2004,19,3708,3723,7431,0,0,0,3708,3723,7431
MOUNT GAMBIER,2005,18,3903,3965,7868,0,0,0,3903,3965,7868
MOUNT GAMBIER,2006,20,3797,3836,7633,0,0,0,3797,3836,7633
MOUNT GAMBIER,2007,21,3463,3463,6926,0,0,0,3463,3463,6926
MOUNT GAMBIER,2008,-,2391,2391,4782,0,0,0,2391,2391,4782
MOUNT GAMBIER,2009,-,2176,2176,4352,0,0,0,2176,2176,4352
MOUNT GAMBIER,2010,-,2178,2177,4355,0,0,0,2178,2177,4355
MOUNT GAMBIER,2011,-,2048,2045,4093,0,0,0,2048,2045,4093
MOUNT GAMBIER,2012,-,2060,2057,4117,0,0,0,2060,2057,4117
MOUNT GAMBIER,2013,-,2017,2011,4028,0,0,0,2017,2011,4028
